"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2024","415.95","413.00","417.93","411.59","9.82M","0.05%"
"11/18/2024","415.76","414.87","418.40","412.10","24.74M","0.18%"
"11/15/2024","415.00","419.82","422.80","413.64","28.25M","-2.79%"
"11/14/2024","426.89","425.00","428.17","420.00","30.25M","0.40%"
"11/13/2024","425.20","421.64","429.33","418.21","21.50M","0.51%"
"11/12/2024","423.03","418.25","424.44","417.20","19.40M","1.20%"
"11/11/2024","418.01","422.52","424.81","416.00","24.50M","-1.07%"
"11/08/2024","422.54","425.32","426.50","421.78","16.89M","-0.68%"
"11/07/2024","425.43","421.28","426.85","419.88","19.90M","1.25%"
"11/06/2024","420.18","412.42","420.45","410.52","26.68M","2.12%"
"11/05/2024","411.46","408.37","414.90","408.08","17.63M","0.73%"
"11/04/2024","408.46","409.80","410.42","405.57","19.67M","-0.47%"
"11/01/2024","410.37","409.01","415.50","407.50","24.23M","0.99%"
"10/31/2024","406.35","415.36","416.16","406.30","53.97M","-6.05%"
"10/30/2024","432.53","437.44","438.50","432.10","29.75M","0.13%"
"10/29/2024","431.95","428.00","433.17","425.80","17.64M","1.26%"
"10/28/2024","426.59","431.65","431.94","426.30","14.88M","-0.36%"
"10/25/2024","428.15","426.76","432.52","426.56","16.90M","0.81%"
"10/24/2024","424.73","425.32","425.98","422.40","13.58M","0.03%"
"10/23/2024","424.60","430.86","431.08","422.53","19.65M","-0.68%"
"10/22/2024","427.51","418.49","430.58","418.04","25.48M","2.08%"
"10/21/2024","418.78","416.12","418.96","413.75","14.21M","0.15%"